Sensor,Monitoring: Y,Monitoring: M,Monitoring: W,Monitoring: D,Uptime: Y,Uptime: M,Uptime: W,Uptime: D,Integration Monitoring: Y,Integration Monitoring: M,Integration Monitoring: W,Integration Monitoring: D,Integration Uptime: Y,Integration Uptime: M,Integration Uptime: W,Integration Uptime: D
ab_permission,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ab_permission_view_role,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ab_permission_view,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ab_register_user,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ab_role,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ab_user_role,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ab_user,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ab_view_menu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aco_ccl_301_cvpsa_001,43.9512122105,69.2665138621,61.9187394286,0.0,99.9930378282,99.9913669077,99.9998070991,0.0,56.8429383825,94.2524479655,93.3603535714,94.974,70.8113671507,80.2480679725,94.1864292685,99.998842606
aco_ccl_308_cvpsa_001,48.3008022807,77.8184052759,92.7848855714,94.939964,99.9999649271,99.9999571331,99.9998346564,99.998842606,56.8456328105,94.2672795862,93.3806185714,95.11356,61.1803345804,75.9479956542,98.2247761627,99.8162947188
aco_ccl_ft_fb001,91.7878216492,94.1481733793,93.4585722857,94.99915,99.2612474809,99.923739775,99.9998346564,99.998842606,93.4803119439,94.3330314483,93.5455824286,95.130356,99.9946988622,99.9345583914,99.7288851044,99.998842606
aco_ccl_ft_fb002,93.0822625912,94.3579699655,93.5565327143,94.996414,99.2662852955,99.9207746383,99.9998346564,99.998842606,94.110355008,94.3211558621,93.5227217143,95.12675,99.9947287018,99.934563219,99.7289051043,99.998842606
aco_ccl_ft_fb003,93.1368518726,94.367082931,93.6157035714,95.13535,99.2671368155,99.9214547759,99.9998346564,99.998842606,94.0885202264,94.3285074483,93.5202492857,95.12517,99.9745988632,99.6956265557,98.7390258839,99.998842606
aco_ccl_ft_fb004,93.2343676427,94.3291136552,93.5171801429,94.99733,99.2681422587,99.9229054995,99.9998346564,99.998842606,94.0772541516,94.3144917586,93.500833,94.987076,99.9745991724,99.6956309005,98.7390438839,99.998842606
aco_ccl_ft_fb005,93.1711327507,94.4116282069,93.617952,95.137,98.3540870218,99.9208459486,99.9966818044,99.998842606,94.0905201382,94.3731317586,93.5610792857,95.12719,99.9745990331,99.6956291764,98.739036741,99.998842606
aco_ccl_ft_fb006,93.3846417313,94.4007737241,93.6162748571,95.1356,98.3620648935,99.9203237419,99.9998346564,99.998842606,94.1091622411,94.3847701379,93.58185,95.129074,99.9745613451,99.6951702111,98.7371353156,99.998842606
aco_ccl_ft_fc601,92.9551367194,94.4352268621,93.6360148571,95.13195,96.3068950686,89.4335033066,72.9408595396,0.0,94.1286930581,94.4087527241,93.5814777143,95.129074,99.14634771,99.6956284867,98.7390338839,99.998842606
aco_ccl_ft_fc602,92.5488447083,94.439771,93.615936,95.272446,96.3066112826,89.439101856,72.9430646788,0.0,94.122932079,94.4060391034,93.542952,94.990814,98.8345511137,99.6951667628,98.7371210299,99.998842606
aco_ccl_ft_fc621,92.8792306833,94.4544141034,93.615208,95.27004,98.4455023899,89.4329096516,72.9375444022,0.0,94.1370133028,94.4318434483,93.58287,95.12995,99.6608817157,99.6956198661,98.7389981696,99.998842606
aco_ccl_psa_server_system_health,14.8599533333,14.8599533333,14.8599533333,44.57986,99.998842606,99.998842606,99.998842606,99.998842606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aco_ccl_server_frothsensor,92.5076451639,94.0134496897,93.1985787143,94.8669,95.2836994191,85.332841318,99.9998346564,99.998842606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aco_dsn_308_cvpsa_001,85.3104974272,90.203459069,89.8723485714,90.96652,99.9929361402,99.9932035404,99.9998346564,99.998842606,92.1466317417,90.3349038276,89.8931802857,90.952446,96.5331390244,99.9986414693,99.9998346564,99.998842606
aco_dsn_309_cvpsa_001,87.93042095,86.8539723448,89.8990254286,90.970634,99.9927494345,99.9935485058,99.9998346564,99.998842606,92.1499984917,90.335100931,89.8937842857,90.95286,96.5334639432,99.9986454693,99.9998346564,99.998842606
aco_dsn_ft_601_inner,90.7420464556,90.2048716897,89.91963,90.83251,98.2030100374,99.7969189291,99.9723481304,99.998842606,92.9378934417,90.3413544828,89.9017722857,90.96671,99.999996767,99.9999600894,99.9998346564,99.998842606
