Sensor,Monitoring: Y,Monitoring: M,Monitoring: W,Monitoring: D,Uptime: Y,Uptime: M,Uptime: W,Uptime: D,Integration Monitoring: Y,Integration Monitoring: M,Integration Monitoring: W,Integration Monitoring: D,Integration Uptime: Y,Integration Uptime: M,Integration Uptime: W,Integration Uptime: D
ab_permission,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ab_permission_view_role,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ab_permission_view,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ab_register_user,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ab_role,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ab_user_role,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ab_user,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ab_view_menu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aco_ccl_301_cvpsa_001,54.7187352763,81.7646672759,94.5276114286,94.81545,99.9955953601,99.9999571331,99.9998346564,99.998842606,66.4363304842,94.7346815172,94.9526837143,94.856926,80.1929609789,94.4669733321,98.8281885936,99.449598963
aco_ccl_308_cvpsa_001,53.0904781908,76.4077569483,94.6290914286,94.96132,99.9999758874,99.9999537037,99.9998346564,99.998842606,66.4403188053,94.7495547931,94.9730942857,94.857414,73.6340460501,97.3558399723,93.4650923183,96.6301375956
aco_ccl_ft_fb001,91.9946848398,94.7279233793,94.9399081429,94.72192,99.2594962943,99.9362690459,99.9998346564,99.998842606,93.2436658196,94.6755625517,94.9262132857,94.77054,99.9946988622,99.9345583914,99.9998346564,99.998842606
aco_ccl_ft_fb002,93.2968160635,94.813567069,95.0390865714,94.99966,99.2643114956,99.9328908058,99.9939275233,99.998842606,93.8453625798,94.288403,94.9525465714,94.80376,99.9947287018,99.934563219,99.9998346564,99.998842606
aco_ccl_ft_fb003,93.3469551884,94.8374494828,94.9795371429,94.86028,99.2651738323,99.9355342186,99.9998346564,99.998842606,93.8622606225,94.8050241379,94.9861141429,94.81071,99.9745988632,99.6956265557,99.9998346564,99.998842606
aco_ccl_ft_fb004,93.4456210083,94.8376655172,95.0390885714,94.9995,99.2662759941,99.9347021155,99.9998346564,99.998842606,93.854489002,94.848620069,95.0269417143,94.95128,99.9745991724,99.6956309005,99.9998346564,99.998842606
aco_ccl_ft_fb005,93.3854804127,94.8909776552,95.0587814286,94.99893,98.3518179523,99.9300271863,99.994077523,99.998842606,93.8666171216,94.8540158621,95.00742,94.81237,99.9745990331,99.6956291764,99.9998346564,99.998842606
aco_ccl_ft_fb006,93.5966786953,94.8901222069,95.0986657143,94.999695,98.3598327543,99.9315653236,99.9938946662,99.998842606,93.8874724045,94.8867411379,95.0485261429,94.952835,99.9745613451,99.6951702111,99.9998346564,99.998842606
aco_ccl_ft_fc601,93.1687392278,94.9218896207,95.1184514286,94.99906,94.3410444594,69.1644847064,99.9998346564,99.998842606,93.9056561942,94.8823703793,95.089997,94.95493,99.14634771,99.6956284867,99.9998346564,99.998842606
aco_ccl_ft_fc602,92.7605633389,94.9079595862,95.1383792857,94.99973,94.3408681777,69.1634947068,99.9998346564,99.998842606,93.9014547707,94.8925832069,95.0902308571,94.95493,98.8345511137,99.6951667628,99.9998346564,99.998842606
aco_ccl_ft_fc621,93.0924541944,94.9119216552,95.1185322857,94.99903,96.4962108077,69.1622075694,99.9998346564,99.998842606,93.9155499917,94.902647,95.0905771429,94.95508,99.6608817157,99.6956198661,99.9998346564,99.998842606
aco_ccl_psa_server_system_health,84.0604481364,84.0604481364,94.5459648571,94.68403,99.9999421297,99.9999421297,99.9998346564,99.998842606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aco_ccl_server_frothsensor,92.7228843778,94.5636976207,94.738095,94.8125,95.2836994191,93.1034111177,99.9998346564,99.998842606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aco_dsn_308_cvpsa_001,85.2432351383,90.6782064828,90.5481125714,90.82768,99.9930955637,99.9979321592,99.9998346564,99.998842606,91.7817347194,90.9438196552,90.919753,90.82622,98.5888699998,99.9959916427,99.9889082459,99.998842606
aco_dsn_309_cvpsa_001,86.7118177833,75.6423841379,67.0327777143,62.094707,99.9929244907,99.9981252626,99.9998346564,99.998842606,91.7768374361,90.9435699655,90.8614664286,90.68856,98.5894091202,99.9973287456,99.9998346564,99.998842606
aco_dsn_ft_601_inner,90.9284827556,90.9140727931,90.832695,90.83224,98.3250244748,99.7578879102,99.6707523433,99.998842606,92.7405725472,90.9576585862,90.8779384286,90.792015,99.999996767,99.9999600894,99.9998346564,99.998842606
