Sensor,Monitoring: Y,Monitoring: M,Monitoring: W,Monitoring: D,Uptime: Y,Uptime: M,Uptime: W,Uptime: D,Integration Monitoring: Y,Integration Monitoring: M,Integration Monitoring: W,Integration Monitoring: D,Integration Uptime: Y,Integration Uptime: M,Integration Uptime: W,Integration Uptime: D
smd_kao_cv001_lynxx_001,95.6520735855,95.6198666552,96.4212994286,96.23458,99.3189511231,99.9397003204,99.9984589443,99.9892127174,95.8946454754,95.619684069,96.426079,96.24944,99.9997270075,99.9999600894,99.9998346564,99.998842606
smd_kao_cv002_lynxx_001,95.646382887,95.6431055862,96.4211865714,96.38605,99.1187141501,99.8175087829,99.9998346564,99.998842606,95.8898124058,95.6015823793,96.380097,96.320625,99.9990453119,99.9999600894,99.9998346564,99.998842606
smd_kao_cv005_lynxx_001,95.6557293188,95.6402638276,96.4019574286,96.38205,99.8164528514,99.8629984199,99.6448338148,99.998842606,95.892051658,95.6084568276,96.3614294286,96.186806,99.9999966452,99.9999600894,99.9998346564,99.998842606
smd_kao_cv010_lynxx_001,95.6667796812,95.650624931,96.4447165714,96.24648,99.3664926056,99.6590388117,99.9998346564,99.998842606,95.8980899594,95.6366394483,96.3651392857,96.18776,99.9999966452,99.9999600894,99.9998346564,99.998842606
smd_kao_cv015_lynxx_001,95.6714553681,95.674683,96.4431807143,96.381165,99.519579957,99.9436980429,99.9998346564,99.998842606,95.9003870812,95.621659,96.3893494286,96.24715,99.9983116308,99.9999600894,99.9998346564,99.998842606
smd_kao_cv023_lynxx_001,95.6682221681,95.6848077241,96.4240534286,96.24572,99.9492838672,99.8148794736,99.9475818856,99.6330768394,95.8919564899,95.6395591034,96.4116455714,96.20298,99.9999966452,99.9999600894,99.9998346564,99.998842606
smd_kao_cv026_lynxx_001,95.5723102299,95.6627055517,96.4034115714,96.24275,99.6791157651,99.9148773648,99.9530918765,99.671646393,95.6347498418,95.6345402069,96.4085148571,96.20407,99.9997806227,99.9999600894,99.9998346564,99.998842606
smd_kao_cv504_lynxx_001,95.6689640174,95.6564848621,96.4439444286,96.38534,94.9931391059,99.5676314344,99.9998346564,99.998842606,95.9037463478,95.6564774138,96.4242557143,96.20523,99.9999966452,99.9999600894,99.9998346564,99.998842606
smd_kao_cv504_lynxx_002,95.0217060783,95.586813,96.4657565714,96.24947,99.1277093585,99.999723193,99.9998346564,99.998842606,95.9074323536,95.6761322069,96.4289885714,96.20999,99.9999966452,99.9999600894,99.9998346564,99.998842606
smd_kao_cv513_lynxx_001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smd_kao_feed_lynxx_001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smd_kao_product_lynxx_001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smd_kao_server_lynxxserver1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
