Sensor,Monitoring: Y,Monitoring: M,Monitoring: W,Monitoring: D,Uptime: Y,Uptime: M,Uptime: W,Uptime: D,Integration Monitoring: Y,Integration Monitoring: M,Integration Monitoring: W,Integration Monitoring: D,Integration Uptime: Y,Integration Uptime: M,Integration Uptime: W,Integration Uptime: D
ab_permission,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ab_permission_view_role,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ab_permission_view,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ab_register_user,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ab_role,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ab_user_role,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ab_user,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ab_view_menu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aco_ccl_301_cvpsa_001,54.1841124133,81.7604445172,94.3203178571,94.98907,99.9955035968,99.9999571331,99.9998346564,99.998842606,66.0573892107,94.7293854483,94.9912208571,94.99531,79.8363353327,94.1090936474,98.9066527496,98.0975886112
aco_ccl_308_cvpsa_001,52.5322003,76.3985079828,87.7348157143,94.99141,99.9999753743,99.9999537037,99.9998346564,99.998842606,66.0614242027,94.7586246552,94.9918122857,94.995804,73.208171883,97.1434167467,93.3196479874,92.7228728186
aco_ccl_ft_fb001,91.9942986243,94.7230854483,94.9993438571,94.999275,99.2594962943,99.9362690459,99.9998346564,99.998842606,93.2581118417,94.6865266897,94.9703818571,95.05435,99.9946988622,99.9345583914,99.9998346564,99.998842606
aco_ccl_ft_fb002,93.2948962569,94.8182658621,95.0589522857,95.1388,99.2642451622,99.9328908058,99.9939275233,99.998842606,93.859716834,94.299200931,94.9915857143,95.04981,99.9947287018,99.934563219,99.9998346564,99.998842606
aco_ccl_ft_fb003,93.3461745235,94.8469325862,95.0192878571,94.99957,99.2651738323,99.9355342186,99.9998346564,99.998842606,93.8766353871,94.8154794483,95.0247055714,95.087585,99.9745988632,99.6956265557,99.9998346564,99.998842606
aco_ccl_ft_fb004,93.4440824765,94.8424713793,95.0787957143,95.13857,99.2662759941,99.9347021155,99.9998346564,99.998842606,93.868474376,94.8542281379,95.0653802857,95.089226,99.9745991724,99.6956309005,99.9998346564,99.998842606
aco_ccl_ft_fb005,93.3847119197,94.8957805517,95.09861,95.13807,98.35176493,99.9300271863,99.994077523,99.998842606,93.8809872878,94.8644727586,95.0459585714,95.22811,99.9745990331,99.6956291764,99.9998346564,99.998842606
aco_ccl_ft_fb006,93.5962915069,94.8948806552,95.1382698571,95.13886,98.3598327543,99.9315653236,99.9938946662,99.998842606,93.901453471,94.892429931,95.0870082857,95.090614,99.9745613451,99.6951702111,99.9998346564,99.998842606
aco_ccl_ft_fc601,93.1687405472,94.9266727241,95.1383534286,95.13784,94.3409220369,69.1644847064,99.9998346564,99.998842606,93.9196702775,94.8927765862,95.1084184286,95.23143,99.14634771,99.6956284867,99.9998346564,99.998842606
aco_ccl_ft_fc602,92.7605513944,94.9175466897,95.1384112857,95.13832,94.3408681777,69.1634947068,99.9942375228,99.998842606,93.915468854,94.9030238966,95.1286822857,95.23146,98.8345511137,99.6951667628,99.9998346564,99.998842606
aco_ccl_ft_fc621,93.0920672389,94.9167421379,95.1383622857,95.13873,96.4962108077,69.1622075694,99.9998346564,99.998842606,93.9295636583,94.9083913448,95.0894521429,95.37064,99.6608817157,99.6956198661,99.9998346564,99.998842606
aco_ccl_psa_server_system_health,83.5545632857,83.5545632857,94.6094562857,95.03472,99.9999390839,99.9999390839,99.9998346564,99.998842606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aco_ccl_server_frothsensor,92.7211579056,94.5714800345,94.752315,94.46528,95.2836994191,89.6551366319,99.9998346564,99.998842606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aco_dsn_308_cvpsa_001,85.2594470828,90.6684885517,90.5673082857,90.826355,99.9930955637,99.9979321592,99.9998346564,99.998842606,91.7979079972,90.9529837931,90.917893,91.102005,98.5888699998,99.9959916427,99.9889082459,99.998842606
aco_dsn_309_cvpsa_001,86.8078224861,76.1123647241,69.5341052857,72.23806,99.9929244907,99.9981252626,99.9998346564,99.998842606,91.794166575,90.9527475517,90.8794335714,90.9644,98.5894091202,99.9973287456,99.9998346564,99.998842606
aco_dsn_ft_601_inner,90.94468795,90.9045024483,90.8526635714,90.83225,98.3250244748,99.7578879102,99.6707523433,99.9686129559,92.7661502833,90.9667215172,90.8965814286,91.05899,99.999996767,99.9999600894,99.9998346564,99.998842606
