Sensor,Monitoring: Y,Monitoring: M,Monitoring: W,Monitoring: D,Uptime: Y,Uptime: M,Uptime: W,Uptime: D,Integration Monitoring: Y,Integration Monitoring: M,Integration Monitoring: W,Integration Monitoring: D,Integration Uptime: Y,Integration Uptime: M,Integration Uptime: W,Integration Uptime: D
ab_permission,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ab_permission_view_role,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ab_permission_view,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ab_register_user,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ab_role,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ab_user_role,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ab_user,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ab_view_menu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aco_ccl_301_cvpsa_001,46.0431095323,65.0176371379,51.3599102857,94.985725,99.9938335047,99.9910071957,99.9997685191,99.998842606,59.9226454645,94.2800977586,95.0346972857,94.97682,73.7184858482,89.4058368693,96.1782318323,91.1506750153
aco_ccl_308_cvpsa_001,52.0458700968,77.8295123448,94.8010114286,94.78326,99.9999695419,99.9999571331,99.9998346564,99.998842606,59.9274423419,94.2806533448,95.0553814286,94.83905,65.8537256294,93.1035322556,99.6077038762,97.7286388815
aco_ccl_ft_fb001,91.8338612072,94.1767651034,94.9990485714,94.72124,99.261411336,99.923469913,99.9987166582,99.998842606,93.4113794992,94.3400058966,95.042778,94.96746,99.9946988622,99.9345583914,99.9998346564,99.998842606
aco_ccl_ft_fb002,93.1282860166,94.3578737931,95.017607,94.859665,99.2662429344,99.9195032595,99.9945675222,99.998842606,94.0423439721,94.342092069,95.0697564286,94.85717,99.9947287018,99.934563219,99.9998346564,99.998842606
aco_ccl_ft_fb003,93.1849313795,94.3959184483,95.1369585714,94.86001,99.2671001581,99.921000983,99.9979546595,99.998842606,94.0206936724,94.354675,95.088562,94.855934,99.9745988632,99.6956265557,99.9998346564,99.998842606
aco_ccl_ft_fb004,93.2824423352,94.3530498276,95.116795,94.86082,99.2680974509,99.9215744655,99.9943203798,99.998842606,94.0105837915,94.3692327931,95.1286222857,94.99482,99.9745991724,99.6956309005,99.9998346564,99.998842606
aco_ccl_ft_fb005,93.219981928,94.4403804138,95.1774598571,94.99883,98.3540825789,99.9207909486,99.9996067996,99.998842606,94.0242388363,94.4135045172,95.1886442857,95.13377,99.9745990331,99.6956291764,99.9998346564,99.998842606
aco_ccl_ft_fb006,93.4331085623,94.4296198276,95.1768608571,94.99947,98.3620325425,99.9193058113,99.9956175205,99.998842606,94.0429230721,94.4250532414,95.2111048571,95.13703,99.9745613451,99.6951702111,99.9998346564,99.998842606
aco_ccl_ft_fc601,93.0043655833,94.4573086207,95.2076042857,95.122505,94.8984928187,72.1921308773,1.53328617909,0.0,94.0618844303,94.4346258966,95.171504,94.99814,99.14634771,99.6956284867,99.9998346564,99.998842606
aco_ccl_ft_fc602,92.5977238167,94.457619,95.1896782857,95.124306,94.898238568,72.1977294268,1.53542703269,0.0,94.0561246874,94.4358566552,95.1718532857,95.13703,98.8345511137,99.6951667628,99.9998346564,99.998842606
aco_ccl_ft_fc621,92.9280583389,94.466615,95.1862408571,94.98526,97.0490096585,72.1915372224,1.53277675136,0.0,94.0709787278,94.4660686897,95.2315027143,95.13703,99.6608817157,99.6956198661,99.9998346564,99.998842606
aco_ccl_psa_server_system_health,64.90191,64.90191,74.1736114286,94.69097,99.9998070991,99.9998070991,99.9998070991,99.998842606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aco_ccl_server_frothsensor,92.5549734556,94.0625796897,95.0282728571,94.97569,95.2836994191,85.332841318,99.9998346564,99.998842606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aco_dsn_308_cvpsa_001,85.2834373439,90.0984664828,90.3514942857,90.68426,99.9927631696,99.9911756102,99.9914332417,99.998842606,92.0210449111,90.3623502069,90.9559575714,90.80162,97.2233558144,99.9986414693,99.9998346564,99.998842606
aco_dsn_309_cvpsa_001,87.5707938167,82.5955646552,73.2691118571,55.283646,99.9925999682,99.9917136789,99.9922332404,99.998842606,92.0247116167,90.3563964828,90.9913421429,90.941315,97.2235736267,99.9973287456,99.9943796654,99.9606580479
aco_dsn_ft_601_inner,90.72660575,90.2480224483,90.9515765714,90.83245,98.1911133897,99.6471324371,99.3536214391,99.998842606,92.8123109667,90.3616794828,90.9787927143,90.95225,99.999996767,99.9999600894,99.9998346564,99.998842606
