Sensor,Monitoring: Y,Monitoring: M,Monitoring: W,Monitoring: D,Uptime: Y,Uptime: M,Uptime: W,Uptime: D,Integration Monitoring: Y,Integration Monitoring: M,Integration Monitoring: W,Integration Monitoring: D,Integration Uptime: Y,Integration Uptime: M,Integration Uptime: W,Integration Uptime: D
ab_permission,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ab_permission_view_role,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ab_permission_view,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ab_register_user,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ab_role,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ab_user_role,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ab_user,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ab_view_menu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aco_ccl_301_cvpsa_001,51.9042890282,81.5920602414,94.351315,93.17342,99.9950948329,99.9999571331,99.9998346564,99.998842606,64.4271904338,94.7226798966,94.859691,94.84992,78.3352969468,92.7961490679,99.1865475725,98.6074287103
aco_ccl_308_cvpsa_001,50.1540397535,71.5600383276,33.5950728571,93.19039,99.9999730836,99.9999517747,99.999614199,99.998842606,64.4333784676,94.7614938276,94.8799065714,94.850586,71.5405978997,97.4619555161,96.7180129398,93.2248610086
aco_ccl_ft_fb001,91.9048745718,94.7037873448,94.8606144286,94.999916,99.2594962943,99.9362690459,99.9431361787,99.998842606,93.3139821483,94.6859018966,94.4616854286,94.83252,99.9946988622,99.9345583914,99.9998346564,99.998842606
aco_ccl_ft_fb002,93.2066327044,94.8085962414,94.939913,94.99933,99.2643600234,99.9343166673,99.9371119029,99.998842606,93.9152960329,94.3001276552,92.775498,94.857956,99.9947287018,99.934563219,99.9998346564,99.998842606
aco_ccl_ft_fb003,93.2572785817,94.8515518621,94.880235,94.85997,99.2651738323,99.9355342186,99.9394774704,99.998842606,93.9318541156,94.8145482759,94.8932385714,94.94433,99.9745988632,99.6956265557,99.9998346564,99.998842606
aco_ccl_ft_fb004,93.3551987064,94.8325013793,94.9593628571,94.99929,99.2662584621,99.9347021155,99.9395381846,99.998842606,93.923294315,94.8483316897,94.9533292857,94.94503,99.9745991724,99.6956309005,99.9998346564,99.998842606
aco_ccl_ft_fb005,93.2958233407,94.8957498966,94.9797457143,94.99944,98.3518411863,99.9313897375,99.9187247905,99.998842606,93.9358044069,94.8587524138,94.914123,94.94551,99.9745990331,99.6956291764,99.9998346564,99.998842606
aco_ccl_ft_fb006,93.5070071053,94.8850357931,94.9989477143,94.99974,98.3598621414,99.9329991161,99.9289849164,99.998842606,93.9562554156,94.8964235862,95.0047871429,94.947,99.9745613451,99.6951702111,99.9998346564,99.998842606
aco_ccl_ft_fc601,93.0792079444,94.9218378966,95.0193034286,95.13858,94.3409220369,69.1644847064,99.3118352225,99.998842606,93.9742159331,94.8916998621,94.9657021429,95.087425,99.14634771,99.6956284867,99.9998346564,99.998842606
aco_ccl_ft_fc602,92.6706411028,94.912705069,94.9795878571,95.138275,94.3408681777,69.1634947068,99.3074436583,99.998842606,93.9700144374,94.8973035517,95.0259985714,95.087906,98.8345511137,99.6951667628,99.9998346564,99.998842606
aco_ccl_ft_fc621,93.0017554667,94.9215791724,94.9993422857,94.999626,96.4962108077,69.1622075694,99.3104436534,99.998842606,93.9833341583,94.9030216552,94.9470807143,94.9494,99.6608817157,99.6956198661,99.9998346564,99.998842606
aco_ccl_psa_server_system_health,80.9249726471,80.9249726471,94.5269507143,94.13194,99.9999228396,99.9999228396,99.9998346564,99.998842606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aco_ccl_server_frothsensor,92.6273628889,94.5388329655,94.4259257143,94.85185,95.2836994191,85.450970926,99.9998346564,99.998842606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aco_dsn_308_cvpsa_001,85.2375072106,90.7165815172,90.6486348571,90.824844,99.9930955637,99.9979321592,99.9998346564,99.998842606,91.8711785778,90.9417423793,90.7123437143,90.81693,98.5889772827,99.9959937117,99.9888653888,99.998842606
aco_dsn_309_cvpsa_001,86.8998805111,76.4955546897,63.4256034286,35.97229,99.9929244907,99.9981252626,99.9998346564,99.998842606,91.8697441139,90.9511305172,90.7332398571,90.818085,98.5894091202,99.9973287456,99.9998346564,99.998842606
aco_dsn_ft_601_inner,90.6861073389,90.8661802069,90.7141214286,90.83305,98.3314590556,99.8373216716,99.9998346564,99.998842606,92.6334422167,90.9623186207,90.76252,90.80609,99.999996767,99.9999600894,99.9998346564,99.998842606
