Sensor,Monitoring: Y,Monitoring: M,Monitoring: W,Monitoring: D,Uptime: Y,Uptime: M,Uptime: W,Uptime: D,Integration Monitoring: Y,Integration Monitoring: M,Integration Monitoring: W,Integration Monitoring: D,Integration Uptime: Y,Integration Uptime: M,Integration Uptime: W,Integration Uptime: D
ab_permission,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ab_permission_view_role,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ab_permission_view,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ab_register_user,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ab_role,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ab_user_role,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ab_user,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ab_view_menu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aco_ccl_301_cvpsa_001,52.5005391806,81.5937905862,94.3480535714,94.8343,99.9952038366,99.9999571331,99.9998346564,99.998842606,64.8555214,94.7325957586,94.9218538571,95.26702,78.7558059309,93.2727514639,99.1552990527,99.7801051377
aco_ccl_308_cvpsa_001,50.7763618403,74.8345635,47.1609628571,94.96123,99.9999736953,99.9999537037,99.999710649,99.998842606,64.8577750167,94.7666314138,94.902448,94.98993,72.0240652821,97.3308328099,96.1747909808,96.1963266166
aco_ccl_ft_fb001,92.0061748094,94.7086116897,94.9001867143,94.999176,99.2594962943,99.9362690459,99.9431361787,99.998842606,93.300394618,94.6938554828,94.4973217143,95.081314,99.9946988622,99.9345583914,99.9998346564,99.998842606
aco_ccl_ft_fb002,93.3083047486,94.8181817586,94.9597715714,95.13796,99.2643600234,99.9343166673,99.9371119029,99.998842606,93.9021871378,94.3145178276,92.8318642857,95.25458,99.9947287018,99.934563219,99.9998346564,99.998842606
aco_ccl_ft_fb003,93.3592439695,94.8611594483,94.9200392857,95.1385,99.2651738323,99.9355342186,99.9394774704,99.998842606,93.9182374951,94.8231048276,94.9254971429,95.0844,99.9745988632,99.6956265557,99.9998346564,99.998842606
aco_ccl_ft_fb004,93.4575512438,94.8517368966,95.0191214286,95.27688,99.2662759941,99.9347021155,99.9395381846,99.998842606,93.9100642486,94.8617012069,94.985678,95.223946,99.9745991724,99.6956309005,99.9998346564,99.998842606
aco_ccl_ft_fb005,93.3977875983,94.9005407241,94.9995528571,95.13808,98.3518411863,99.9314168409,99.9187247905,99.998842606,93.9225761798,94.8721017241,94.9663958571,95.22461,99.9745990331,99.6956291764,99.9998346564,99.998842606
aco_ccl_ft_fb006,93.6089739307,94.8946785517,95.0389205714,95.13834,98.3598621414,99.9329991161,99.9289849164,99.998842606,93.9430306511,94.9049348276,95.0468042857,95.22586,99.9745613451,99.6951702111,99.9998346564,99.998842606
aco_ccl_ft_fc601,93.1814511583,94.9266499655,95.0391848571,95.13868,94.3409220369,69.1644847064,99.9790369765,99.998842606,93.9605746386,94.8954964138,95.0081041429,95.089134,99.14634771,99.6956284867,99.9998346564,99.998842606
aco_ccl_ft_fc602,92.7728817806,94.9175021034,94.9994207143,95.13858,94.3408681777,69.1634947068,99.9766539804,99.998842606,93.9563731874,94.9058511379,95.0485522857,95.08915,98.8345511137,99.6951667628,99.9998346564,99.998842606
aco_ccl_ft_fc621,93.1043925444,94.931158,95.0391965714,95.27774,96.4962108077,69.1622075694,99.9796625469,99.998842606,93.9700791306,94.9114792414,94.9894198571,95.22819,99.6608817157,99.6956198661,99.9998346564,99.998842606
aco_ccl_psa_server_system_health,81.7002313889,81.7002313889,94.53869,94.87963,99.9999276621,99.9999276621,99.9998346564,99.998842606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aco_ccl_server_frothsensor,92.7303239194,94.5471741724,94.485615,95.202545,95.2836994191,85.450970926,99.9998346564,99.998842606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aco_dsn_308_cvpsa_001,85.3227549439,90.7307366897,90.7272685714,91.10375,99.9930955637,99.9979321592,99.9998346564,99.998842606,91.8553781222,90.9517436207,90.773626,91.096436,98.5889772827,99.9959937117,99.9888653888,99.998842606
aco_dsn_309_cvpsa_001,86.9535643722,76.4524957241,63.6254834286,79.74101,99.9929244907,99.9981252626,99.9998346564,99.998842606,91.8539448083,90.9659081034,90.7945812857,91.09772,98.5894091202,99.9973287456,99.9998346564,99.998842606
aco_dsn_ft_601_inner,90.7808416917,90.8853502069,90.7736028571,91.11078,98.3314590556,99.8373216716,99.9998346564,99.998842606,92.6186435222,90.9723862069,90.80352,91.09501,99.999996767,99.9999600894,99.9998346564,99.998842606
