Sensor,Monitoring: Y,Monitoring: M,Monitoring: W,Monitoring: D,Uptime: Y,Uptime: M,Uptime: W,Uptime: D,Integration Monitoring: Y,Integration Monitoring: M,Integration Monitoring: W,Integration Monitoring: D,Integration Uptime: Y,Integration Uptime: M,Integration Uptime: W,Integration Uptime: D
bol_kev_3110_truck_stats_crg02,24.10449119,92.10651969,80.134165,0,99.99103634,99.98962045,99.95490662,0,95.51492643,92.07177569,80.0854065,0,78.10341333,64.06023023,99.88357479,0
bol_kev_server_kevsrvlaser01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bol_kev_server_kevsrvlaser02,94.56129918,91.48778731,79.70042583,0,99.99999665,99.99995866,99.99976852,0,0,0,0,0,0,0,0,0
celery_taskmeta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
celery_tasksetmeta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
connection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dag_code,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dag_pickle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dag_run,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dag_tag,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dag,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deb_nuj_ppsc01_cvpsa_001,73.6680481,69.77300421,80.08993917,0,98.7781133,99.99994739,99.99976852,0,85.14949845,92.37812383,80.0527125,0,90.66993746,93.15705135,99.99976852,0
deb_nuj_server_system_health,79.56220867,69.57375369,79.729744,0,88.87592226,93.87820607,99.99976852,0,0,0,0,0,0,0,0,0
deb_ven_cvpsa_rno_cnv001_001,75.74762931,83.25172452,77.35469417,0,95.50606395,99.99995866,99.99976852,0,41.16686247,92.23832317,79.30882367,0,93.56048704,92.12139485,96.61617435,0
deb_ven_ft_df2scn002_002_1,92.38918224,92.22803728,79.336401,0,99.99609995,99.99877634,99.99975052,0,92.31352528,92.22907528,79.31753167,0,14.47250603,25.0677087,0.723507785,0
deb_ven_ft_df2scn002_002_2,92.4002935,92.27593062,79.38269833,0,99.99610179,99.99876277,99.99976852,0,92.31255804,92.22193286,79.28924433,0,12.68197828,21.93428465,0.260266598,0
deb_ven_ft_df2scn002_002_3,92.43640492,92.28072031,79.38269933,0,99.99656301,99.99894991,99.99955952,0,92.33119032,92.23739455,79.30985167,0,14.89175028,25.8013839,0.361589343,0
deb_ven_ft_df2scn002_002,91.28987624,92.24248476,79.33678667,0,99.84418734,99.99902027,99.99958652,0,70.80007993,92.22648103,79.34404,0,39.33503752,35.23620465,0.809953125,0
exx_belf_lynxx_001,82.91452667,90.58605517,79.279974,0,98.31002131,99.96727832,99.99976852,0,83.1536801,90.55215,79.31639083,0,99.81030893,99.98691474,99.99976852,0
exx_belf_lynxx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
exx_belf_server_system_health,82.90527604,90.53903245,79.261766,0,99.99999633,99.99995866,99.99976852,0,0,0,0,0,0,0,0,0
exx_ggl_0400_lynxx_001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
exx_ggl_0800_lynxx_001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
exx_ggl_0800_lynxx_002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
exx_ggl_1000_cvpsa_001,60.4660419,0,0,0,57.17016695,0,0,0,0,0,0,0,0,0,0,0
exx_ggl_1000_cvpsa_002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
exx_ggl_1000_lynxx_001,66.45025165,0,0,0,63.36928957,0,0,0,66.87824328,0,0,0,99.97673881,0,0,0
exx_ggl_1000_lynxx_002,66.46762547,0,0,0,1.084141795,0,0,0,66.87738269,0,0,0,99.99138159,0,0,0
exx_ggl_gg78_cvpsa_001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
exx_ggl_pr01_cvpsa_001,49.27866914,0,0,0,0,0,0,0,60.94451811,0,0,0,94.31558647,0,0,0
exx_ggl_pr02_cvpsa_001,53.87828734,0,0,0,67.90430035,0,0,0,60.96887417,0,0,0,96.5571665,0,0,0
exx_ggl_server_ggpaapv13,66.4894633,0,0,0,99.9999952,0,0,0,0,0,0,0,0,0,0,0
exx_ggl_server_system_health,60.4803842,0,0,0,86.2954177,0,0,0,0,0,0,0,0,0,0,0
fls_rus_cvpsa_036,0,0,0,0,0,0,0,0,27.2077238,0,0,0,22.92300865,0,0,0
fls_rus_cvpsa_046,0,0,0,0,0,0,0,0,27.20718862,0,0,0,22.92277286,0,0,0
fls_rus_cvpsa_cam_036_test,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fls_rus_cvpsa_cam_036,26.42291912,0,0,0,99.73096177,0,0,0,27.20731574,0,0,0,99.99998807,0,0,0
fls_rus_server_system_health,26.05656607,0,0,0,98.26750606,0,0,0,0,0,0,0,0,0,0,0
fls_slc_100_ft_001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fls_slc_server_froth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fqm_kan_1004_cvpsa_001,90.38451636,92.46528355,80.12704733,0,97.71008087,99.99995866,99.99976852,0,90.89630919,92.42217048,80.07634683,0,90.77577729,99.25102769,99.60213444,0
fqm_kan_1004_lynxx_001_300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fqm_kan_1004_lynxx_001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fqm_kan_1007_cvpsa_001,90.35332272,92.46088003,80.154185,0,93.13596532,98.77907153,99.4912177,0,84.55584497,92.46122248,80.121756,0,94.35187831,99.79349061,99.95639982,0
fqm_kan_1007_cvpsa_002,90.0835611,92.39283659,80.12776183,0,94.21896797,98.94833271,98.72156548,0,90.5943704,92.44298559,80.1679975,0,63.80184374,99.94898583,99.99976852,0
fqm_kan_1007_lynxx_001_300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fqm_kan_1007_lynxx_001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fqm_kan_1010_cvpsa_001,90.03545483,92.44447697,80.10971633,0,91.57553147,98.59362607,96.70868214,0,90.77189845,92.46706983,80.1008025,0,89.90454829,99.83694898,99.97806257,0
fqm_kan_1010_cvpsa_002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fqm_kan_1010_lynxx_001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fqm_kan_1010_lynxx_002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fqm_kan_1012_cvpsa_001,90.1319612,92.43034514,80.08743917,0,96.28435735,99.38393388,99.98991254,0,90.75849865,92.46335769,80.170414,0,68.27120783,0.253919395,0,0
fqm_kan_1012_cvpsa_002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fqm_kan_1012_lynxx_001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fqm_kan_1101_cvpsa_001,90.3548191,92.47178148,80.177951,0,98.35371204,99.94710169,99.98531535,0,90.62930611,92.46115238,80.14239583,0,78.89404704,56.55737737,99.99976852,0
fqm_kan_1101_lynxx_001_old,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fqm_kan_1101_lynxx_001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fqm_kan_1101_lynxx_002_old,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fqm_kan_1101_lynxx_002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
